date,code,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange,snapshot_date,vietnameseName
11/24/2021,FUCTVGF3,15:11:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/24/2021,Tài chính
11/26/2021,E1VFVN30,15:11:03,HOSE,ETF,26.2,28.03,24.37,26.2,26.64,26.2,26.34,26.53,26.2,26.64,26.2,26.34,26.53,943900,25044556000,1300000,34420000000,0.14,0.14,0.5344,11/26/2021,Tài chính
11/26/2021,FUCTVGF3,15:11:03,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/26/2021,Tài chính
11/26/2021,HCM,15:11:03,HOSE,STOCK,47.7,51,44.4,47.6,50.3,47.6,48.7,48.81,47.065,49.735,47.065,48.153,48.262,10692100,5.21873E+11,0,0,1,0.9888,2.0964,11/26/2021,Tài chính
11/10/2021,HCM,15:11:02,HOSE,STOCK,43.45,46.45,40.45,43.8,44.7,43.45,44,44.08,43.308,44.198,42.962,43.506,43.585,4641800,2.0461E+11,0,0,0.55,0.5438,1.2658,11/10/2021,Tài chính
11/19/2021,E1VFVN30,15:11:05,HOSE,ETF,25.4,27.17,23.63,25.4,25.53,25.16,25.5,25.37,25.4,25.53,25.16,25.5,25.37,589000,14942504000,700000,17555000000,0.1,0.1,0.3937,11/19/2021,Tài chính
11/19/2021,FUCTVGF3,15:11:05,HOSE,IFC,12,12.8,11.2,12,12,12,12,0,12,12,12,12,0,0,0,0,0,0,0,0,11/19/2021,Tài chính
11/17/2021,FUESSV50,15:11:04,HOSE,ETF,22.65,24.23,21.07,22.8,22.8,22.7,22.7,22.76,22.8,22.8,22.7,22.7,22.76,1900,43244000,0,0,0.05,0.05,0.2208,11/17/2021,Tài chính
11/17/2021,FUCVREIT,15:11:04,HOSE,IFC,12.55,13.4,11.7,13.4,13.4,12.05,12.8,12.93,13.4,13.4,12.05,12.8,12.93,95000,1228645000,0,0,0.25,0.25,1.992,11/17/2021,Tài chính
11/18/2021,HCM,15:11:03,HOSE,STOCK,45.3,48.45,42.15,46.2,48.45,45.9,48.1,47.18,45.681,47.906,45.384,47.56,46.65,8313200,3.92219E+11,0,0,2.8,2.7686,6.181,11/18/2021,Tài chính
11/12/2021,FUCTVGF3,15:11:03,HOSE,IFC,11.9,12.7,11.1,11.9,11.9,11.9,11.9,0,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11/12/2021,Tài chính
11/12/2021,HCM,15:11:03,HOSE,STOCK,43.85,46.9,40.8,43.5,44.3,43.2,44.25,43.81,43.011,43.802,42.715,43.753,43.318,4006200,1.75507E+11,0,0,0.4,0.3955,0.9122,11/12/2021,Tài chính
11/19/2021,FUESSV50,15:11:05,HOSE,ETF,22.7,24.28,21.12,22.7,22.7,22.5,22.5,22.64,22.7,22.7,22.5,22.5,22.64,42300,957830000,0,0,-0.2,-0.2,-0.8811,11/19/2021,Tài chính
